timestamp,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,bid_price_2,bid_volume_2,ask_price_2,ask_volume_2,bid_price_3,bid_volume_3,ask_price_3,ask_volume_3,bid_price_4,bid_volume_4,ask_price_4,ask_volume_4,bid_price_5,bid_volume_5,ask_price_5,ask_volume_5,bid_price_6,bid_volume_6,ask_price_6,ask_volume_6,bid_price_7,bid_volume_7,ask_price_7,ask_volume_7,bid_price_8,bid_volume_8,ask_price_8,ask_volume_8,bid_price_9,bid_volume_9,ask_price_9,ask_volume_9,bid_price_10,bid_volume_10,ask_price_10,ask_volume_10,spread
1751798544260275968,99.9994,229,100.0505,69,99.9899,193,100.0601,490,99.9793,475,100.0705,237,99.9699,493,100.0805,12,99.9599,393,100.0906,37,99.9498,436,100.1005,499,99.9399,406,100.1103,92,99.9294,120,100.1207,178,99.919,346,100.1303,368,99.9099,499,100.1402,320,0.0511
1751798544260375968,99.9983,292,100.0487,155,99.9879,296,100.058,496,99.9784,449,100.068,318,99.968,206,100.0779,262,99.9575,10,100.0883,117,99.9479,72,100.098,40,99.9383,114,100.1078,161,99.9283,254,100.1184,417,99.9185,48,100.1286,231,99.9079,239,100.1377,475,0.0504
1751798544260475968,100.0008,99,100.0524,375,99.9908,459,100.0624,276,99.9806,431,100.0731,284,99.9707,84,100.0829,128,99.9609,246,100.0933,346,99.9512,82,100.1025,238,99.941,244,100.1128,489,99.931,47,100.1228,388,99.9206,57,100.1333,440,99.9104,55,100.1423,168,0.0516
1751798544260575968,99.9961,28,100.056,434,99.9858,245,100.0662,490,99.9759,53,100.0764,430,99.9657,460,100.0862,283,99.9558,411,100.0968,93,99.9463,209,100.1067,325,99.936,262,100.1164,191,99.9258,96,100.1266,36,99.9157,397,100.1369,496,99.9064,41,100.147,359,0.0599
1751798544260675968,100.0009,442,100.0534,272,99.9906,29,100.0637,464,99.9804,304,100.0735,289,99.97,121,100.0835,459,99.9604,49,100.0938,105,99.9502,418,100.1039,165,99.94,304,100.1133,479,99.93,128,100.1239,78,99.9207,86,100.1333,400,99.9109,49,100.1438,413,0.0525
1751798544260775968,99.997,48,100.0581,54,99.9863,210,100.0675,349,99.9768,145,100.078,327,99.9666,307,100.0877,241,99.9568,234,100.0977,227,99.9464,59,100.1078,438,99.9365,341,100.1176,80,99.9266,455,100.1282,125,99.9162,432,100.1377,22,99.9066,454,100.1476,307,0.0611
1751798544260875968,99.9958,223,100.055,92,99.9851,481,100.0652,154,99.9753,277,100.0748,50,99.9659,26,100.085,74,99.956,125,100.095,32,99.9456,62,100.1051,70,99.9352,33,100.1152,199,99.9254,347,100.1252,192,99.9157,375,100.1355,35,99.9056,196,100.1451,300,0.0592
1751798544260975968,99.9939,473,100.0591,309,99.984,326,100.0684,284,99.9739,119,100.079,152,99.9634,94,100.0883,455,99.9537,114,100.099,339,99.9434,27,100.1086,91,99.9334,135,100.1192,280,99.9233,189,100.1289,257,99.9139,166,100.1388,342,99.9042,248,100.1488,122,0.0652
1751798544261075968,99.9981,413,100.0617,26,99.9876,375,100.0718,86,99.9778,401,100.082,306,99.9679,242,100.0921,149,99.9579,298,100.1021,304,99.9476,102,100.1114,320,99.9372,221,100.1221,300,99.9275,204,100.1315,427,99.9176,295,100.1417,136,99.9082,296,100.1513,185,0.0636
1751798544261175968,99.9971,266,100.062,350,99.9868,177,100.0721,154,99.9765,237,100.0825,80,99.9663,146,100.0927,242,99.9572,178,100.1025,282,99.9464,210,100.1126,270,99.9363,309,100.1226,452,99.927,142,100.1324,285,99.9163,357,100.1422,38,99.9068,237,100.1521,158,0.0649
1751798544261275968,99.9992,273,100.0625,357,99.9892,170,100.0721,351,99.9788,383,100.0825,427,99.969,20,100.0916,419,99.9591,437,100.1021,62,99.9494,99,100.1124,238,99.9391,146,100.1224,98,99.9293,461,100.1321,249,99.9195,209,100.1417,152,99.9089,166,100.1525,325,0.0633
1751798544261375968,99.9996,306,100.059,279,99.9893,257,100.0688,486,99.9792,169,100.0787,109,99.9699,93,100.0892,394,99.9595,34,100.0993,381,99.9498,316,100.1097,150,99.9398,248,100.1189,93,99.9291,438,100.1289,377,99.9197,36,100.1394,18,99.9092,458,100.1487,111,0.0594
1751798544261475968,100.0047,143,100.0558,188,99.9941,401,100.066,191,99.9841,119,100.0753,260,99.9738,72,100.0855,86,99.9639,340,100.0956,262,99.9542,482,100.1054,424,99.9444,414,100.1152,11,99.9341,358,100.1252,109,99.9243,419,100.135,10,99.914,156,100.1454,397,0.0511
1751798544261575968,100.0022,218,100.0513,345,99.9919,42,100.0605,75,99.9821,169,100.071,306,99.9717,361,100.0811,71,99.9624,166,100.091,209,99.9524,300,100.1006,29,99.9419,31,100.1109,177,99.932,31,100.1206,32,99.9223,311,100.1315,422,99.912,120,100.1406,106,0.0491
1751798544261675968,100.0025,282,100.05,258,99.9929,455,100.0602,311,99.9824,215,100.0704,369,99.9724,470,100.0804,43,99.9628,364,100.0903,221,99.9521,250,100.1005,52,99.9428,491,100.1109,102,99.9324,492,100.1201,126,99.9226,298,100.1303,117,99.913,354,100.1404,275,0.0475
1751798544261775968,100.0018,45,100.0498,320,99.9916,192,100.0596,277,99.9822,416,100.069,289,99.9716,265,100.0791,207,99.9619,211,100.0898,347,99.9514,147,100.0996,173,99.9421,326,100.1091,446,99.9316,417,100.1194,488,99.9217,384,100.129,418,99.9121,274,100.1393,199,0.048
1751798544261875968,99.9999,368,100.0543,69,99.9904,427,100.0641,440,99.9802,370,100.074,215,99.9702,336,100.0841,188,99.96,250,100.0941,384,99.9495,305,100.1045,172,99.9398,47,100.1139,181,99.9304,114,100.124,224,99.9201,35,100.1345,93,99.9103,218,100.1439,411,0.0544
1751798544261975968,99.9952,146,100.0516,425,99.9848,444,100.0618,320,99.9752,41,100.0723,30,99.9656,221,100.0819,476,99.955,146,100.0919,409,99.9449,173,100.102,289,99.9355,420,100.1124,27,99.9248,249,100.1218,355,99.9157,38,100.1319,288,99.9057,307,100.1422,213,0.0564
1751798544262075968,99.997,297,100.0551,260,99.9871,75,100.0651,31,99.9771,437,100.0751,144,99.9671,426,100.0849,199,99.9569,28,100.0947,322,99.9469,161,100.1047,488,99.9377,96,100.1153,405,99.927,140,100.1247,368,99.9172,420,100.1347,477,99.9077,80,100.1448,386,0.0581
1751798544262175968,99.9985,129,100.0537,336,99.9882,184,100.0639,106,99.9783,454,100.0743,390,99.9686,237,100.0839,79,99.958,327,100.0942,439,99.9479,215,100.1039,381,99.9385,270,100.1141,95,99.9283,120,100.1244,280,99.918,212,100.1336,111,99.9082,152,100.1434,76,0.0552
1751798544262275968,100.0005,76,100.0542,197,99.9905,80,100.0639,268,99.9802,124,100.0743,276,99.9707,248,100.0848,266,99.9605,405,100.094,349,99.9505,364,100.1049,319,99.94,200,100.114,221,99.9303,54,100.1241,208,99.9208,408,100.1343,271,99.91,112,100.1448,129,0.0537
1751798544262375968,99.9985,189,100.0501,400,99.9886,495,100.0601,414,99.9784,278,100.0705,418,99.9686,76,100.08,396,99.9584,386,100.09,119,99.948,470,100.1004,203,99.9386,169,100.1104,385,99.928,447,100.1205,66,99.918,496,100.1305,459,99.9085,150,100.1407,137,0.0516
1751798544262475968,99.9989,289,100.055,28,99.9886,416,100.0643,66,99.9791,353,100.0745,277,99.9689,72,100.0842,13,99.9589,40,100.0949,215,99.9493,435,100.105,446,99.9391,462,100.1143,340,99.9285,295,100.1243,317,99.9189,291,100.1344,171,99.9092,357,100.1444,131,0.0561
1751798544262575968,99.9997,476,100.0528,104,99.9904,270,100.0627,167,99.9799,491,100.0735,101,99.9698,472,100.0835,454,99.9597,83,100.0927,284,99.9501,452,100.1027,353,99.9398,228,100.1132,299,99.9299,174,100.1228,334,99.9195,497,100.1332,213,99.9097,274,100.1435,98,0.0531
1751798544262675968,100.0024,10,100.0567,195,99.992,54,100.0673,403,99.9823,375,100.0772,496,99.9722,459,100.0863,155,99.9621,52,100.0972,353,99.9523,307,100.1063,64,99.9426,263,100.117,420,99.9319,407,100.1266,325,99.9221,368,100.1369,166,99.9125,371,100.1464,108,0.0543
1751798544262775968,99.9976,407,100.0556,178,99.9878,423,100.0657,496,99.978,236,100.0763,129,99.9674,343,100.0863,147,99.9574,32,100.096,476,99.9475,253,100.1056,485,99.9377,25,100.1157,417,99.9273,379,100.1263,314,99.918,49,100.1355,25,99.9075,150,100.1456,67,0.058
1751798544262875968,99.9978,192,100.0542,453,99.9875,58,100.0643,445,99.9777,257,100.0739,425,99.9678,36,100.0846,114,99.9575,136,100.0946,406,99.9475,444,100.1041,184,99.9378,173,100.1139,271,99.9274,42,100.1244,156,99.9177,196,100.1343,286,99.9076,51,100.1448,249,0.0564
1751798544262975968,99.9966,403,100.057,203,99.987,347,100.0671,322,99.977,454,100.0777,338,99.9666,123,100.0875,373,99.9572,72,100.097,275,99.9472,164,100.1068,85,99.9367,361,100.1178,397,99.9271,355,100.1268,306,99.9168,378,100.1373,303,99.9064,293,100.1478,206,0.0604
1751798544263075968,99.9927,157,100.0619,451,99.9821,217,100.0724,101,99.9722,97,100.0822,98,99.9626,29,100.0926,414,99.9523,233,100.1023,283,99.9427,444,100.1119,414,99.9322,130,100.1221,249,99.9219,223,100.132,198,99.9122,336,100.1418,356,99.9028,409,100.1524,120,0.0692
1751798544263175968,99.9944,462,100.0593,41,99.9841,452,100.0702,355,99.9747,487,100.0793,88,99.9646,268,100.0899,148,99.9544,11,100.0998,202,99.9442,331,100.1102,10,99.9347,412,100.1198,298,99.9243,260,100.1297,53,99.9141,206,100.1402,395,99.9045,310,100.1502,190,0.0649
1751798544263275968,99.9967,63,100.0609,204,99.9873,131,100.0705,401,99.977,246,100.0809,458,99.9668,235,100.0906,480,99.9572,314,100.101,167,99.9468,455,100.1105,356,99.9369,62,100.1205,287,99.9267,398,100.1309,461,99.9173,83,100.1407,202,99.9072,148,100.1506,377,0.0642
